Dataset,Algorithm,Population Length,Generations,Selection Scheme,Selection Candidates,Crossover Scheme,Crossover Probability,Mutation Scheme,Mutation Probability,Replacement Scheme,Time(s),AvgValue,BestAvgValue,BestGeneration,HV,Spread,NumSolutions,Spacing,NumGenerations
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,64.51506090164185,0.3790687256514329,0.4546089739697067,11,0.11568149191073894,0.7246904077853081,23,0.13170500735347462,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,71.96425890922546,0.3877667485686367,0.4395953955615196,68,0.129767813697287,0.7833223066944014,19,0.12458487695473931,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,67.95663142204285,0.3990786238612549,0.4368032134112567,34,0.13741319538251462,0.5825327155579598,32,0.1250958275254563,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,64.68971157073975,0.38487759715865144,0.4393147961886228,53,0.12159869525074955,0.7627649478917291,23,0.11725711579421941,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,65.88716721534729,0.38231232239856416,0.45011237775015916,83,0.11900541996155775,0.6643186275838042,30,0.132937360589839,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,72.208993434906,0.3705689604960151,0.45308476754093524,99,0.16483884328818926,0.6506923104108442,37,0.13241715851421057,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,76.93636798858643,0.37779931578692105,0.44869767744336964,8,0.1635421505879664,0.6346199409943196,37,0.11492977575596888,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,68.27048325538635,0.3755438526340726,0.45383666811195517,29,0.14824188033164218,0.8265189774926016,26,0.1302952181192287,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,890.3211452960968,0.4248688530072602,0.4879963316164445,99,0.21693581226924927,0.97117638502786,99,0.17378281488169775,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,865.0470745563507,0.4120153419299068,0.4809688223939502,91,0.2574507319381165,0.9700279893987073,99,0.20542559926034593,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,843.7436218261719,0.38644430802737373,0.48655481901576747,92,0.3181933955243824,0.9700194354321504,100,0.22581867788629142,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,846.378978729248,0.38341791525934754,0.479647422159209,94,0.35772490821169645,0.9708039161377909,100,0.2457009669216262,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,831.45139503479,0.3914242346405172,0.47732551192280187,97,0.3066552807050417,0.9683649888442157,98,0.216177934792657,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,851.4761095046997,0.39730862273465684,0.4818430599709453,99,0.3650638776710899,0.9687151127097295,100,0.22339050019538287,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,878.3804957866669,0.4238858130407487,0.4769202158871932,99,0.22058181071075902,0.9703081681084558,100,0.1728072088303149,100
