Dataset,Algorithm,Iterations,Solutions per Iteration,Initialization Type,Local Search Type,Time(s),AvgValue,BestAvgValue,HV,Spread,NumSolutions,Spacing,NumGenerations
1,GRASP,20,40,uniform,best_first_neighbor,0.6365323066711426,0.029092831949686,0.04815229563269878,0.25352743561030233,0.738104252917186,39,0.28766819138648586,20
1,GRASP,20,40,uniform,best_first_neighbor,0.6452796459197998,0.029832303534458936,0.04815229563269878,0.25352743561030233,0.7025777248835956,39,0.2977702292176008,20
1,GRASP,20,40,uniform,best_first_neighbor,0.6121997833251953,0.02992552422042727,0.04815229563269878,0.25352743561030233,0.744795734292465,40,0.2945916390168081,20
1,GRASP,20,40,uniform,best_first_neighbor,0.5886027812957764,0.03000822079289724,0.04815229563269878,0.25352743561030233,0.7715241708565158,40,0.29583235581923695,20
1,GRASP,20,40,uniform,best_first_neighbor,0.5997295379638672,0.029803057957774663,0.04815229563269878,0.25352743561030233,0.7642876402263928,41,0.29447724878942394,20
1,GRASP,20,40,uniform,best_first_neighbor,0.598193883895874,0.029803057957774663,0.04815229563269878,0.25352743561030233,0.7642876402263928,41,0.29447724878942394,20
1,GRASP,20,40,uniform,best_first_neighbor,0.6034021377563477,0.02984175095388716,0.04815229563269878,0.25442329227323623,0.7309577677550292,41,0.31119729795500867,20
1,GRASP,20,40,uniform,best_first_neighbor,0.5971834659576416,0.02993643757464594,0.04815229563269878,0.25442329227323623,0.723700830268735,42,0.31181540333871044,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3227884769439697,0.03128708035229224,0.04815229563269878,0.22952374678874907,0.6225336416388392,37,0.28982237738178135,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3279566764831543,0.03110625961608163,0.04815229563269878,0.22952374678874907,0.6190452204178271,41,0.2869876187699962,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.32578563690185547,0.030603619846482077,0.04815229563269878,0.2606942889137738,0.6269672523240344,46,0.2922004664560942,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3278834819793701,0.030369576439117574,0.04815229563269878,0.28978328173374607,0.6409242595386794,46,0.29805306751217747,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.35785412788391113,0.030536476637823058,0.04815229563269878,0.28978328173374607,0.6430424688326202,47,0.3009437870074642,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.33721327781677246,0.030266144951974553,0.04815229563269878,0.28978328173374607,0.6416545281510119,49,0.29745799951936647,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3347442150115967,0.03011115000046346,0.04815229563269878,0.28978328173374607,0.6357093321080934,50,0.29641974871439003,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3218953609466553,0.03011115000046346,0.04815229563269878,0.28978328173374607,0.6357093321080934,50,0.29641974871439003,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3263893127441406,0.030047709802180213,0.04815229563269878,0.28978328173374607,0.635129971017002,51,0.29181124178265727,20
1,GRASP,20,20,stochastically,best_first_neighbor_random,0.3271505832672119,0.030047709802180213,0.04815229563269878,0.28978328173374607,0.635129971017002,51,0.29181124178265727,20
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,833.9459342956543,0.004111440788854771,0.005847129270870026,0.008806936583467023,0.6190141945412456,161,0.22574292761786666,500
